Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
44,4.6157,1.0522,4.2654
44.1,4.6262,1.053,4.2772
44.2,4.6367,1.0544,4.291
44.3,4.6471,1.0555,4.3032
44.4,4.6577,1.0566,4.3159
44.5,4.6681,1.0578,4.329
44.6,4.6787,1.0588,4.3417
44.7,4.6891,1.0599,4.3543
44.8,4.6996,1.0611,4.3682
44.9,4.7101,1.062,4.3799
45,4.7206,1.0632,4.3928
45.1,4.731,1.0643,4.406
45.2,4.7417,1.0655,4.4182
45.3,4.7522,1.0666,4.4318
45.4,4.7626,1.0676,4.445
45.5,4.7731,1.0685,4.4572
45.6,4.7837,1.0698,4.4709
45.7,4.7942,1.0708,4.4836
45.8,4.8048,1.0718,4.496
45.9,4.8152,1.0729,4.51
46,4.8256,1.0738,4.5222
46.1,4.8362,1.075,4.5344
46.2,4.8467,1.0758,4.5487
46.3,4.8572,1.0771,4.5612
46.4,4.8677,1.0783,4.5738
46.5,4.8782,1.079,4.5878
46.6,4.8887,1.0802,4.5996
46.7,4.8992,1.0812,4.6128
46.8,4.9096,1.0822,4.6261
46.9,4.9203,1.0833,4.6387
47,4.9307,1.0844,4.6522
47.1,4.9412,1.0853,4.665
47.2,4.9516,1.0861,4.6772
47.3,4.9621,1.0874,4.6917
47.4,4.9726,1.0884,4.704
47.5,4.9832,1.0892,4.7167
47.6,4.9936,1.0902,4.7306
47.7,5.0041,1.0911,4.7431
47.8,5.0147,1.0924,4.756
47.9,5.0252,1.0934,4.7699
48,5.0356,1.0942,4.7819
48.1,5.0462,1.0953,4.7962
48.2,5.0568,1.0964,4.8094
48.3,5.0672,1.0973,4.8214
48.4,5.0777,1.0984,4.8357
48.5,5.0881,1.0992,4.8484
48.6,5.0987,1.1002,4.8606
48.7,5.1092,1.1013,4.8752
48.8,5.1197,1.102,4.8876
48.9,5.1301,1.103,4.9003
49,5.1407,1.1039,4.9146
49.1,5.1511,1.105,4.9265
49.2,5.1618,1.106,4.9399
49.3,5.1721,1.1069,4.9538
49.4,5.1826,1.1076,4.9662
49.5,5.1931,1.1086,4.9797
49.6,5.2037,1.1096,4.9933
49.7,5.214,1.1106,5.0058
49.8,5.2247,1.1113,5.02
49.9,5.2351,1.1123,5.0333
50,5.2456,1.1134,5.0459
50.1,5.2562,1.1142,5.06
50.2,5.2666,1.1151,5.0728
